text,sentiment
You chose the wrong wire. You need to install the green wire.,negative
No. that is not correct. Install the brown wire.,negative
You chose the wrong wire. You need to install the black wire.,negative
No. install the white wire.,negative
No. install the orange wire.,negative
No. that is not correct. Install the white wire.,negative
You chose the wrong wire. You need to install the green wire.,negative
That is wrong. install the white wire.,negative
No. install the brown wire.,negative
That is wrong. install the red wire.,negative
Install the brown wire. The black wire is not the correct one.,negative
No. that is not correct. Install the red wire.,negative
No. that is not correct. Install the black wire.,negative
No. install the white wire.,negative
You chose the wrong wire. You need to install the gray wire.,negative
No. install the gray wire.,negative
Install the gray wire. The black wire is not the correct one.,negative
No. install the brown wire.,negative
No. that is not correct. Install the gray wire.,negative
You chose the wrong wire. You need to install the purple wire.,negative
You chose the wrong wire. You need to install the white wire.,negative
Install the gray wire. The orange wire is not the correct one.,negative
No. install the gray wire.,negative
Install the orange wire. The yellow wire is not the correct one.,negative
You chose the wrong wire. You need to install the gray wire.,negative
That is wrong. install the green wire.,negative
Install the brown wire. The purple wire is not the correct one.,negative
You chose the wrong wire. You need to install the brown wire.,negative
You chose the wrong wire. You need to install the purple wire.,negative
You chose the wrong wire. You need to install the white wire.,negative
That is wrong. install the blue wire.,negative
You chose the wrong wire. You need to install the red wire.,negative
No. that is not correct. Install the gray wire.,negative
You chose the wrong wire. You need to install the green wire.,negative
Install the yellow wire. The black wire is not the correct one.,negative
No. that is not correct. Install the gray wire.,negative
That is wrong. install the brown wire.,negative
You chose the wrong wire. You need to install the yellow wire.,negative
Install the green wire. The orange wire is not the correct one.,negative
You chose the wrong wire. You need to install the red wire.,negative
Install the white wire. The yellow wire is not the correct one.,negative
Install the purple wire. The white wire is not the correct one.,negative
You chose the wrong wire. You need to install the white wire.,negative
No. that is not correct. Install the black wire.,negative
No. install the orange wire.,negative
That is wrong. install the white wire.,negative
That is wrong. install the gray wire.,negative
No. install the black wire.,negative
That is wrong. install the gray wire.,negative
That is wrong. install the red wire.,negative
Install the red wire. The blue wire is not the correct one.,negative
You chose the wrong wire. You need to install the blue wire.,negative
No. install the purple wire.,negative
Install the yellow wire. The green wire is not the correct one.,negative
No. install the white wire.,negative
No. install the yellow wire.,negative
You chose the wrong wire. You need to install the blue wire.,negative
You chose the wrong wire. You need to install the green wire.,negative
No. that is not correct. Install the blue wire.,negative
No. that is not correct. Install the purple wire.,negative
No. that is not correct. Install the white wire.,negative
No. that is not correct. Install the brown wire.,negative
No. that is not correct. Install the blue wire.,negative
That is wrong. install the black wire.,negative
You chose the wrong wire. You need to install the green wire.,negative
No. install the red wire.,negative
Install the brown wire. The gray wire is not the correct one.,negative
That is wrong. install the purple wire.,negative
No. install the red wire.,negative
Install the brown wire. The orange wire is not the correct one.,negative
That is wrong. install the purple wire.,negative
No. that is not correct. Install the brown wire.,negative
You chose the wrong wire. You need to install the black wire.,negative
No. that is not correct. Install the green wire.,negative
No. that is not correct. Install the yellow wire.,negative
No. that is not correct. Install the yellow wire.,negative
You chose the wrong wire. You need to install the blue wire.,negative
No. that is not correct. Install the orange wire.,negative
No. that is not correct. Install the black wire.,negative
You chose the wrong wire. You need to install the gray wire.,negative
You chose the wrong wire. You need to install the white wire.,negative
No. that is not correct. Install the green wire.,negative
You chose the wrong wire. You need to install the black wire.,negative
No. that is not correct. Install the purple wire.,negative
That is wrong. install the brown wire.,negative
You chose the wrong wire. You need to install the gray wire.,negative
No. install the blue wire.,negative
No. that is not correct. Install the blue wire.,negative
No. install the brown wire.,negative
No. install the white wire.,negative
That is wrong. install the brown wire.,negative
That is wrong. install the gray wire.,negative
No. install the purple wire.,negative
You chose the wrong wire. You need to install the purple wire.,negative
You chose the wrong wire. You need to install the brown wire.,negative
Install the brown wire. The orange wire is not the correct one.,negative
You chose the wrong wire. You need to install the red wire.,negative
No. that is not correct. Install the yellow wire.,negative
No. that is not correct. Install the yellow wire.,negative
No. that is not correct. Install the purple wire.,negative
